"","latitude","longitude","stopName","stopID","maxLat","minLat","maxLon","minLon"
"223",40.804109,-73.966742,"Cathedral Pkwy",23,40.805909,40.802309,-73.964942,-73.968542
"224",40.800591,-73.958153,"Cathedral Pkwy",192,40.802391,40.798791,-73.956353,-73.959953
"225",40.697873,-73.927706,"Central Ave",330,40.699673,40.696073,-73.925906,-73.929506
"226",40.716005,-74.008796,"Chambers St-W Broadway",4,40.717805,40.714205,-74.006996,-74.010596
"227",40.713556,-74.004153,"Chambers-Brooklyn Bridge",104,40.715356,40.711756,-74.002353,-74.005953
"228",40.713888,-74.003384,"Chambers-Brooklyn Bridge",305,40.715688,40.712088,-74.001584,-74.005184
"229",40.714629,-74.00815,"Chambers-World Trade Ctr-Park Pl",216,40.716429,40.712829,-74.00635,-74.00995
"230",40.682905,-73.910456,"Chauncey St",317,40.684705,40.681105,-73.908656,-73.912256
"231",40.734074,-74.002529,"Christopher St",8,40.735874,40.732274,-74.000729,-74.004329
"232",40.650817,-73.949581,"Church Ave",94,40.652617,40.649017,-73.947781,-73.951381
"233",40.644355,-73.979696,"Church Ave",344,40.646155,40.642555,-73.977896,-73.981496
"234",40.650511,-73.962888,"Church Ave",384,40.652311,40.648711,-73.961088,-73.964688
"235",40.71361,-74.006724,"City Hall-Broadway",373,40.71541,40.71181,-74.004924,-74.008524
"236",40.69745,-73.992984,"Clark St",72,40.69925,40.69565,-73.991184,-73.994784
"237",40.688865,-73.959987,"Classon Ave",280,40.690665,40.687065,-73.958187,-73.961787
"238",40.679814,-73.88493,"Cleveland St",320,40.681614,40.678014,-73.88313,-73.88673
"239",40.683335,-73.964704,"Clinton-Washington Aves",222,40.685135,40.681535,-73.962904,-73.966504
"240",40.68808,-73.966855,"Clinton-Washington Aves",279,40.68988,40.68628,-73.965055,-73.968655
"241",40.640853,-73.963821,"Cortelyou Rd",386,40.642653,40.639053,-73.962021,-73.965621
"242",40.712165,-74.012134,"Cortlandt St-Greenwich St",3,40.713965,40.710365,-74.010334,-74.013934
"243",40.711018,-74.01077,"Cortlandt St-Trinity Pl",374,40.712818,40.709218,-74.00897,-74.01257
"244",40.693781,-73.99058,"Court St-Borough Hall",377,40.695581,40.691981,-73.98878,-73.99238
"245",40.6923,-73.989485,"Court St-Borough Hall",100,40.6941,40.6905,-73.987685,-73.991285
"246",40.68312,-73.873928,"Crescent St",322,40.68492,40.68132,-73.872128,-73.875728
"247",40.805481,-73.914272,"Cypress Ave",140,40.807281,40.803681,-73.912472,-73.916072
"248",40.689806,-73.87317,"Cypress Hills",323,40.691606,40.688006,-73.87137,-73.87497
"249",40.703864,-73.918439,"DeKalb Ave",449,40.705664,40.702064,-73.916639,-73.920239
"250",40.68985,-73.981266,"DeKalb Ave",379,40.69165,40.68805,-73.979466,-73.983066
"251",40.718542,-73.988197,"Delancey-Essex Sts",300,40.720342,40.716742,-73.986397,-73.989997
"252",40.774874,-73.911427,"Ditmars Blvd",360,40.776674,40.773074,-73.909627,-73.913227
"253",40.63609,-73.978245,"Ditmas Ave",345,40.63789,40.63429,-73.976445,-73.980045
"254",40.861564,-73.924766,"Dyckman St",32,40.863364,40.859764,-73.922966,-73.926566
"255",40.865502,-73.927262,"Dyckman St-200th St",203,40.867302,40.863702,-73.925462,-73.929062
"256",40.888595,-73.831306,"Dyre Ave-233rd St",68,40.890395,40.886795,-73.829506,-73.833106
"257",40.650841,-73.899865,"E 105th St",459,40.652641,40.649041,-73.898065,-73.901665
"258",40.808695,-73.907658,"E 143rd St",141,40.810495,40.806895,-73.905858,-73.909458
"259",40.812192,-73.904059,"E 149th St",142,40.813992,40.810392,-73.902259,-73.905859
"260",40.833073,-73.86153,"E 177th St-Parkchester",149,40.834873,40.831273,-73.85973,-73.86333
"261",40.841876,-73.873761,"E 180th St",54,40.843676,40.840076,-73.871961,-73.875561
"262",40.677992,-73.905935,"E New York-Eastern Pkwy",229,40.679792,40.676192,-73.904135,-73.907735
"263",40.840579,-73.879751,"E Tremont Ave",53,40.842379,40.838779,-73.877951,-73.881551
"264",40.714409,-73.990219,"East Broadway",301,40.716209,40.712609,-73.988419,-73.992019
"265",40.672148,-73.964659,"Eastern Pkwy",79,40.673948,40.670348,-73.962859,-73.966459
"266",40.828576,-73.879497,"Elder Ave",146,40.830376,40.826776,-73.877697,-73.881297
"267",40.691321,-73.867226,"Elderts Lane",324,40.693121,40.689521,-73.865426,-73.869026
"268",40.742328,-73.881804,"Elmhurst Ave",265,40.744128,40.740528,-73.880004,-73.883604
"269",40.675275,-73.872409,"Euclid Ave",233,40.677075,40.673475,-73.870609,-73.874209
"270",40.603992,-73.755358,"Far Rockaway-Mott Ave",249,40.605792,40.602192,-73.753558,-73.757158
"271",40.632918,-73.947595,"Flatbush Ave",97,40.634718,40.631118,-73.945795,-73.949395
"272",40.700582,-73.950288,"Flushing Ave",283,40.702382,40.698782,-73.948488,-73.952088
"273",40.700267,-73.941009,"Flushing Ave",312,40.702067,40.698467,-73.939209,-73.942809
"274",40.862742,-73.901089,"Fordham Rd",133,40.864542,40.860942,-73.899289,-73.902889
"275",40.861326,-73.897692,"Fordham Rd",212,40.863126,40.859526,-73.895892,-73.899492
"276",40.704341,-73.903111,"Forest Ave",334,40.706141,40.702541,-73.901311,-73.904911
"277",40.692293,-73.860423,"Forest Pkwy",325,40.694093,40.690493,-73.858623,-73.862223
"278",40.681496,-73.957209,"Franklin Ave",223,40.683296,40.679696,-73.955409,-73.959009
"279",40.719775,-74.006824,"Franklin St",5,40.721575,40.717975,-74.005024,-74.008624
"280",40.830485,-73.891822,"Freeman St",51,40.832285,40.828685,-73.890022,-73.893622
"281",40.706193,-73.896089,"Fresh Pond Rd",335,40.707993,40.704393,-73.894289,-73.897889
"282",40.650862,-73.975569,"Ft Hamilton Pkwy",343,40.652662,40.649062,-73.973769,-73.977369
"283",40.640935,-73.994327,"Ft Hamilton Pkwy",413,40.642735,40.639135,-73.992527,-73.996127
"284",40.631482,-74.005379,"Ft Hamilton Pkwy",425,40.633282,40.629682,-74.003579,-74.007179
"285",40.687289,-73.974837,"Fulton St",278,40.689089,40.685489,-73.973037,-73.976637
"286",40.710582,-74.007387,"Fulton St-Broadway-Nassau",304,40.712382,40.708782,-74.005587,-74.009187
"287",40.689449,-73.922059,"Gates Ave",315,40.691249,40.687649,-73.920259,-73.923859
"288",40.714581,-73.943744,"Graham Ave",444,40.716381,40.712781,-73.941944,-73.945544
"289",40.675307,-73.971028,"Grand Army Plaza",78,40.677107,40.673507,-73.969228,-73.972828
"290",40.737252,-73.877179,"Grand Ave",266,40.739052,40.735452,-73.875379,-73.878979
"291",40.752956,-73.979218,"Grand Central",99,40.754756,40.751156,-73.977418,-73.981018
"292",40.711971,-73.94067,"Grand St",445,40.713771,40.710171,-73.93887,-73.94247
"293",40.719105,-73.993342,"Grand St",290,40.720905,40.717305,-73.991542,-73.995142
"294",40.676879,-73.86546,"Grant Ave",234,40.678679,40.675079,-73.86366,-73.86726
"295",40.731553,-73.95447,"Greenpoint Ave",287,40.733353,40.729753,-73.95267,-73.95627
